Year, NodeId, Gender, IP_Key:Cohort, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,STIDebut
2015.5,1,0,Yes_HIV-,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,10,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,13,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,16,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,21,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,25,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,30,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,40,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,50,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,10,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,13,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,16,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,21,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,25,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,30,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,40,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,50,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,No,0,24668,0,0,0,154,0,337,337,0,0,343,0
2015.5,1,0,No,10,6269,0,0,0,5,0,0,0,0,0,0,0
2015.5,1,0,No,13,6173,27,81,0,7,0,0,0,0,0,0,57
2015.5,1,0,No,16,9013,488,464,0,16,0,0,0,0,0,0,975
2015.5,1,0,No,21,5988,312,285,0,21,0,0,0,0,0,0,0
2015.5,1,0,No,25,6389,972,1089,0,18,4,0,0,0,0,0,0
2015.5,1,0,No,30,9619,1618,1588,0,32,0,0,0,0,0,0,0
2015.5,1,0,No,40,6463,1032,957,0,31,7,0,0,0,0,0,0
2015.5,1,0,No,50,6162,772,782,0,90,5,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,10,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,13,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,16,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,21,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,25,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,30,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,40,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,50,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,10,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,13,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,16,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,21,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,25,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,30,0,0,0,0,0,0,0,0,0,0,0,0
